idDimOtherData,calories,avg_heart_rate_element,vrsta_sporta
432,1285,138.0,Biking
433,663,114.0,Biking
434,106,107.0,Biking
435,557,117.0,Biking
436,759,133.0,Biking
437,20,132.0,Biking
438,9,109.0,Biking
439,10,113.0,Biking
440,421,131.0,Biking
441,0,,Biking
442,183,95.0,Biking
443,2343,145.0,Biking
444,485,128.0,Biking
445,1241,133.0,Biking
446,56,161.0,Biking
447,626,139.0,Biking
448,196,159.0,Biking
449,0,167.0,Biking
450,227,113.0,Biking
451,1468,134.0,Biking
452,653,115.0,Biking
453,396,129.0,Biking
454,833,124.0,Biking
455,1671,130.0,Biking
456,189,123.0,Biking
457,301,101.0,Biking
458,984,123.0,Biking
459,180,176.0,Biking
460,31,116.0,Biking
461,1778,175.0,Biking
462,409,118.0,Biking
463,42,114.0,Biking
464,5,109.0,Biking
465,282,168.0,Biking
466,47,111.0,Biking
467,78,125.0,Biking
468,206,170.0,Biking
469,10,164.0,Biking
470,214,173.0,Biking
471,9,158.0,Biking
472,175,164.0,Biking
473,5,151.0,Biking
474,173,164.0,Biking
475,5,134.0,Biking
476,119,152.0,Biking
477,443,123.0,Biking
478,1120,177.0,Biking
479,263,130.0,Biking
480,252,156.0,Biking
481,252,144.0,Biking
482,253,159.0,Biking
483,268,173.0,Biking
484,257,176.0,Biking
485,152,121.0,Biking
486,711,105.0,Biking
487,243,130.0,Biking
488,3506,136.0,Biking
489,1156,141.0,Biking
490,742,143.0,Biking
491,88,130.0,Biking
492,354,118.0,Biking
493,156,167.0,Biking
494,663,134.0,Biking
495,153,97.0,Biking
496,305,,Biking
497,989,101.0,Biking
498,683,124.0,Biking
499,1020,118.0,Biking
500,650,161.0,Biking
501,237,104.0,Biking
502,600,150.0,Biking
503,1816,133.0,Biking
504,778,120.0,Biking
505,747,131.0,Biking
506,763,178.0,Biking
507,219,104.0,Biking
508,256,175.0,Biking
509,275,177.0,Biking
510,266,173.0,Biking
511,240,165.0,Biking
512,0,167.0,Biking
513,206,,Biking
514,1319,130.0,Biking
515,277,130.0,Biking
516,926,127.0,Biking
517,95,133.0,Biking
518,191,136.0,Biking
519,183,133.0,Biking
520,163,132.0,Biking
521,1094,137.0,Biking
522,263,115.0,Biking
523,1032,133.0,Biking
524,317,148.0,Biking
525,99,103.0,Biking
526,1741,127.0,Biking
527,72,162.0,Biking
528,610,126.0,Biking
529,596,116.0,Biking
530,1657,133.0,Biking
531,675,129.0,Biking
532,2895,135.0,Biking
533,678,125.0,Biking
534,88,179.0,Biking
535,473,124.0,Biking
536,457,111.0,Biking
537,168,104.0,Biking
538,315,143.0,Biking
539,291,176.0,Biking
540,231,135.0,Biking
541,129,127.0,Biking
542,231,169.0,Biking
543,114,130.0,Biking
544,1189,146.0,Biking
545,1017,179.0,Biking
546,1304,117.0,Biking
547,1768,137.0,Biking
548,1219,139.0,Biking
549,308,131.0,Biking
550,161,167.0,Biking
551,162,138.0,Biking
552,163,146.0,Biking
553,163,169.0,Biking
554,211,113.0,Biking
555,1592,173.0,Biking
556,337,121.0,Biking
557,1568,135.0,Biking
558,508,127.0,Biking
559,364,166.0,Biking
560,25,111.0,Biking
561,17,112.0,Biking
562,412,171.0,Biking
563,510,169.0,Biking
564,359,107.0,Biking
565,905,177.0,Biking
566,424,132.0,Biking
567,1426,137.0,Biking
568,408,105.0,Biking
569,1120,121.0,Biking
570,389,123.0,Biking
571,36,122.0,Biking
572,42,120.0,Biking
573,561,120.0,Biking
574,364,143.0,Biking
575,1984,133.0,Biking
576,1256,127.0,Biking
577,1992,133.0,Biking
578,152,111.0,Biking
579,868,124.0,Biking
580,733,,Biking
581,714,125.0,Biking
582,75,122.0,Biking
583,268,134.0,Biking
584,1747,138.0,Biking
585,70,106.0,Biking
586,305,128.0,Biking
587,240,153.0,Biking
588,41,112.0,Biking
589,804,112.0,Biking
590,1720,129.0,Biking
591,900,129.0,Biking
592,771,120.0,Biking
593,731,120.0,Biking
594,136,92.0,Biking
595,2635,133.0,Biking
596,917,125.0,Biking
597,684,108.0,Biking
598,384,100.0,Biking
599,462,130.0,Biking
600,529,,Biking
601,978,174.0,Biking
602,1809,139.0,Biking
603,1359,128.0,Biking
604,474,83.0,Biking
605,345,104.0,Biking
606,248,111.0,Biking
607,810,121.0,Biking
608,1583,131.0,Biking
609,638,121.0,Biking
610,706,113.0,Biking
611,778,124.0,Biking
612,1243,124.0,Biking
613,3276,135.0,Biking
614,336,114.0,Biking
615,470,133.0,Biking
616,805,128.0,Biking
617,1808,140.0,Biking
618,605,111.0,Biking
619,654,115.0,Biking
620,496,171.0,Biking
621,84,108.0,Biking
622,198,118.0,Biking
623,2046,166.0,Biking
624,1312,127.0,Biking
625,598,120.0,Biking
626,287,159.0,Biking
627,20,107.0,Biking
628,278,162.0,Biking
629,20,109.0,Biking
630,274,163.0,Biking
631,20,113.0,Biking
632,269,167.0,Biking
633,505,126.0,Biking
634,0,,Biking
635,1147,132.0,Biking
636,790,173.0,Biking
637,0,,Biking
638,821,108.0,Biking
639,1368,112.0,Biking
640,943,121.0,Biking
641,308,117.0,Biking
642,919,135.0,Biking
643,324,129.0,Biking
644,353,158.0,Biking
645,117,114.0,Biking
646,1001,179.0,Biking
647,804,123.0,Biking
648,173,176.0,Biking
649,1668,120.0,Biking
650,2447,162.0,Biking
651,203,106.0,Biking
652,847,128.0,Biking
653,0,,Biking
654,961,115.0,Biking
655,2199,142.0,Biking
656,2404,141.0,Biking
657,163,125.0,Biking
658,99,169.0,Biking
659,105,175.0,Biking
660,106,175.0,Biking
661,105,173.0,Biking
662,104,177.0,Biking
663,105,176.0,Biking
664,103,177.0,Biking
665,122,137.0,Biking
666,636,114.0,Biking
667,210,173.0,Biking
668,252,110.0,Biking
669,194,112.0,Biking
670,225,109.0,Biking
671,868,105.0,Biking
672,437,176.0,Biking
673,775,133.0,Biking
674,694,130.0,Biking
675,1447,118.0,Biking
676,1052,127.0,Biking
677,1324,,Biking
678,0,,Biking
679,0,,Biking
680,0,,Biking
681,1115,117.0,Biking
682,231,122.0,Biking
683,778,125.0,Biking
684,574,123.0,Biking
685,445,111.0,Biking
686,1219,138.0,Biking
687,1762,136.0,Biking
688,615,111.0,Biking
689,336,179.0,Biking
690,226,146.0,Biking
691,48,139.0,Biking
692,10,115.0,Biking
693,1845,121.0,Biking
694,122,170.0,Biking
695,21,93.0,Biking
696,1626,151.0,Biking
697,1190,142.0,Biking
698,157,104.0,Biking
699,1866,140.0,Biking
700,212,175.0,Biking
701,282,138.0,Biking
702,104,103.0,Biking
703,1063,119.0,Biking
704,1031,105.0,Biking
705,846,134.0,Biking
706,227,179.0,Biking
707,290,133.0,Biking
708,352,109.0,Biking
709,26,169.0,Biking
710,1026,129.0,Biking
711,2284,133.0,Biking
712,200,172.0,Biking
713,188,144.0,Biking
714,199,126.0,Biking
715,1029,116.0,Biking
716,0,171.0,Biking
717,273,124.0,Biking
718,16,110.0,Biking
719,301,172.0,Biking
720,394,121.0,Biking
721,114,170.0,Biking
722,946,135.0,Biking
723,794,153.0,Biking
724,358,130.0,Biking
725,275,127.0,Biking
726,42,111.0,Biking
727,185,168.0,Biking
728,26,108.0,Biking
729,177,167.0,Biking
730,36,112.0,Biking
731,231,128.0,Biking
732,1389,115.0,Biking
733,1436,136.0,Biking
734,131,123.0,Biking
735,364,119.0,Biking
736,409,128.0,Biking
737,231,121.0,Biking
738,488,159.0,Biking
739,75,107.0,Biking
740,78,111.0,Biking
741,496,174.0,Biking
742,175,118.0,Biking
743,704,,Biking
744,494,120.0,Biking
745,689,110.0,Biking
746,1851,172.0,Biking
747,194,179.0,Biking
748,547,130.0,Biking
749,335,126.0,Biking
750,214,154.0,Biking
751,205,159.0,Biking
752,15,109.0,Biking
753,199,154.0,Biking
754,11,99.0,Biking
755,205,155.0,Biking
756,116,107.0,Biking
757,584,104.0,Biking
758,2125,,Biking
759,289,114.0,Biking
760,453,177.0,Biking
761,1309,116.0,Biking
762,1252,128.0,Biking
763,556,180.0,Biking
764,1172,115.0,Biking
765,505,112.0,Biking
766,841,128.0,Biking
767,183,93.0,Biking
768,274,181.0,Biking
769,652,141.0,Biking
770,1392,129.0,Biking
771,491,116.0,Biking
772,610,137.0,Biking
773,1878,127.0,Biking
774,1141,140.0,Biking
775,246,177.0,Biking
776,1333,135.0,Biking
777,316,122.0,Biking
778,748,120.0,Biking
779,414,,Biking
780,1274,124.0,Biking
781,503,129.0,Biking
782,1261,125.0,Biking
783,3116,134.0,Biking
784,219,140.0,Biking
785,2588,143.0,Biking
786,1161,131.0,Biking
787,3389,141.0,Biking
788,80,104.0,Biking
789,0,,Biking
790,384,102.0,Biking
791,298,127.0,Biking
792,632,112.0,Biking
793,175,122.0,Biking
794,829,121.0,Biking
795,236,117.0,Biking
796,273,120.0,Biking
797,131,164.0,Biking
798,15,115.0,Biking
799,19,119.0,Biking
800,422,116.0,Biking
801,37,159.0,Biking
802,33,137.0,Biking
803,38,158.0,Biking
804,38,167.0,Biking
805,24,109.0,Biking
806,36,155.0,Biking
807,42,144.0,Biking
808,38,166.0,Biking
809,41,141.0,Biking
810,47,147.0,Biking
811,440,119.0,Biking
812,462,115.0,Biking
813,421,147.0,Biking
814,547,124.0,Biking
815,167,107.0,Biking
816,230,131.0,Biking
817,794,124.0,Biking
818,1601,133.0,Biking
819,669,136.0,Biking
820,888,166.0,Biking
821,642,131.0,Biking
822,369,157.0,Biking
823,359,156.0,Biking
824,12,104.0,Biking
825,363,161.0,Biking
826,10,106.0,Biking
827,363,163.0,Biking
828,91,125.0,Biking
829,327,130.0,Biking
830,315,105.0,Biking
831,26,132.0,Biking
832,688,181.0,Biking
833,233,112.0,Biking
834,588,174.0,Biking
835,816,120.0,Biking
836,610,127.0,Biking
837,598,129.0,Biking
838,58,118.0,Biking
839,1399,135.0,Biking
840,1514,126.0,Biking
841,254,174.0,Biking
842,262,175.0,Biking
843,252,172.0,Biking
844,237,167.0,Biking
845,210,163.0,Biking
846,1605,,Biking
847,2496,,Biking
848,1951,142.0,Biking
849,494,122.0,Biking
850,5,101.0,Biking
851,188,161.0,Biking
852,5,108.0,Biking
853,5,110.0,Biking
854,50,117.0,Biking
855,620,177.0,Biking
856,182,109.0,Biking
857,61,127.0,Biking
858,2936,138.0,Biking
859,0,99.0,Biking
860,716,140.0,Biking
861,94,114.0,Biking
862,0,,Biking
863,536,107.0,Biking
864,205,118.0,Biking
865,288,128.0,Biking
866,326,173.0,Biking
867,51,128.0,Biking
868,329,173.0,Biking
869,41,131.0,Biking
870,177,170.0,Biking
871,494,153.0,Biking
872,642,150.0,Biking
873,495,142.0,Biking
874,678,113.0,Biking
875,1,110.0,Biking
876,190,118.0,Biking
877,725,104.0,Biking
878,464,152.0,Biking
879,1657,131.0,Biking
880,3189,126.0,Biking
881,256,171.0,Biking
882,269,177.0,Biking
883,270,175.0,Biking
884,263,174.0,Biking
885,256,172.0,Biking
886,247,171.0,Biking
887,5,142.0,Biking
888,0,,Biking
889,0,,Biking
890,132,117.0,Biking
891,1142,124.0,Biking
892,430,134.0,Biking
893,191,154.0,Biking
894,47,105.0,Biking
895,193,155.0,Biking
896,41,109.0,Biking
897,47,127.0,Biking
898,421,131.0,Biking
899,726,129.0,Biking
900,2862,115.0,Biking
901,1726,143.0,Biking
902,1219,130.0,Biking
903,1352,129.0,Biking
904,277,172.0,Biking
905,377,,Biking
906,446,109.0,Biking
907,1694,133.0,Biking
908,329,123.0,Biking
909,1,107.0,Biking
910,242,164.0,Biking
911,62,129.0,Biking
912,57,118.0,Biking
913,1371,121.0,Biking
914,554,105.0,Biking
915,257,137.0,Biking
916,515,120.0,Biking
917,1005,128.0,Biking
918,195,109.0,Biking
919,1693,121.0,Biking
920,321,93.0,Biking
921,105,133.0,Biking
922,59,128.0,Biking
923,101,131.0,Biking
924,80,144.0,Biking
925,99,142.0,Biking
926,52,134.0,Biking
927,52,119.0,Biking
928,87,132.0,Biking
929,57,125.0,Biking
930,89,129.0,Biking
931,0,82.0,Biking
932,70,91.0,Biking
933,1200,143.0,Biking
934,206,186.0,Biking
935,305,131.0,Biking
936,238,117.0,Biking
937,254,165.0,Biking
938,259,164.0,Biking
939,10,110.0,Biking
940,252,160.0,Biking
941,236,123.0,Biking
942,111,101.0,Biking
943,2373,141.0,Biking
944,1872,,Biking
945,699,135.0,Biking
946,99,101.0,Biking
947,919,131.0,Biking
948,108,134.0,Biking
949,303,176.0,Biking
950,366,127.0,Biking
951,14,170.0,Biking
952,31,166.0,Biking
953,1,120.0,Biking
954,4,121.0,Biking
955,6,152.0,Biking
956,51,166.0,Biking
957,0,121.0,Biking
958,12,129.0,Biking
959,61,168.0,Biking
960,0,117.0,Biking
961,0,126.0,Biking
962,12,136.0,Biking
963,24,172.0,Biking
964,1,139.0,Biking
965,11,146.0,Biking
966,1016,122.0,Biking
967,257,134.0,Biking
968,961,133.0,Biking
969,1094,120.0,Biking
970,493,102.0,Biking
971,195,108.0,Biking
972,21,108.0,Biking
973,146,162.0,Biking
974,20,108.0,Biking
975,46,109.0,Biking
976,145,161.0,Biking
977,17,107.0,Biking
978,331,118.0,Biking
979,1829,131.0,Biking
980,459,100.0,Biking
981,135,168.0,Biking
982,184,118.0,Biking
983,1212,137.0,Biking
984,527,,Biking
985,363,134.0,Biking
986,5,112.0,Biking
987,248,151.0,Biking
988,529,146.0,Biking
