Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
829.7,179,47.0
600.14,198,43.0
962.17,225,59.0
1011.66,180,47.0
668.41,181,29.0
670.36,119,29.0
6479.74,1145,51.0
542.83,117,30.0
341.93,126,20.0
429.01,177,27.0
1083.6,242,61.0
459.56,121,29.0
398.04,73,17.0
17586.3,2785,172.0
34237.22,5091,842.0
0.0,1816,0.0
125219.82,18459,2699.0
4885.74,1528,257.0
4499.56,1908,73.0
18608.46,6203,674.0
5000.0,780,115.0
5000.0,755,109.0
5000.0,718,124.0
5000.0,927,178.0
5000.0,666,115.0
5000.0,560,57.0
5000.0,559,66.0
5000.0,528,72.0
5000.0,450,78.0
5000.0,449,36.0
5000.0,532,56.0
5000.0,1185,267.0
5000.0,463,94.0
5000.0,516,75.0
5000.0,433,70.0
5000.0,1074,187.0
5000.0,447,52.0
5000.0,695,104.0
18556.13,2522,251.0
24416.89,3693,391.0
14269.66,3148,710.0
79773.67,14635,2334.0
33943.6,4988,863.0
24851.34,4492,1098.0
0.0,1209,0.0
34981.22,8529,1063.0
6475.96,9908,446.0
0.0,3690,178.0
18012.37,2485,362.0
16516.18,5754,517.0
17172.0,3541,689.0
6127.34,1349,484.0
6858.06,991,74.0
6055.36,1276,488.0
6882.25,1047,73.0
6051.74,1218,498.0
8033.14,1335,162.0
78647.56,27961,1515.0
7171.49,1186,153.0
13305.29,2441,658.0
14969.7,5960,624.0
23728.14,6458,989.0
2650.3,711,110.0
30711.4,5636,915.0
35792.19,7703,1187.0
7229.47,1346,114.0
8368.11,2148,415.0
8001.89,1888,495.0
15535.88,2219,172.0
103204.0,13921,2105.0
75088.74,9665,1632.0
14784.56,2101,363.0
19378.9,5394,643.0
57161.6,12740,1661.0
10230.99,1472,238.0
12588.25,1576,325.0
4086.21,609,93.0
8840.74,1252,201.0
2726.13,543,141.0
12586.6,3570,294.0
44077.63,5759,699.0
28231.96,3484,485.0
2041.93,336,27.0
5241.06,781,68.0
4536.71,897,205.0
36604.58,4519,505.0
124236.32,19789,3034.0
124450.04,16748,2162.0
17455.44,2173,347.0
66125.93,8149,1110.0
90994.2,12150,1522.0
25109.32,7747,912.0
101656.06,15517,2564.0
8989.95,2698,357.0
1367.61,660,157.0
2166.53,1150,53.0
2140.34,566,43.0
1330.7,672,152.0
2652.98,877,85.0
913.87,484,112.0
2294.9,871,47.0
2215.36,697,42.0
1333.39,677,153.0
2209.11,670,45.0
14486.91,2483,153.0
37437.12,9544,1006.0
27508.95,5406,773.0
11098.23,2691,373.0
32825.22,8852,1883.0
27740.24,3754,740.0
18082.88,1803,277.0
10496.48,1501,509.0
43881.93,5019,814.0
67219.88,7812,1057.0
60585.82,12843,1836.0
0.0,3691,472.0
24073.71,2961,631.0
2829.19,480,179.0
2957.46,334,8.0
2817.95,483,178.0
2809.96,482,182.0
2911.44,293,6.0
774.12,296,33.0
18430.85,3887,398.0
3822.88,809,173.0
3829.8,829,189.0
3829.84,826,185.0
22136.0,6253,359.0
27347.16,4538,910.0
6202.13,3027,241.0
108191.4,15520,2226.0
30035.27,4923,1389.0
52756.78,9846,1736.0
20367.14,3793,499.0
16745.85,4606,480.0
67697.63,7238,1285.0
27123.13,10870,663.0
93.27,1205,106.0
28588.57,5012,557.0
28918.9,4262,759.0
787.73,216,20.0
3841.48,579,9.0
3870.27,529,10.0
29985.8,3379,421.0
0.41,445,0.0
0.0,2430,183.0
101579.84,13939,2343.0
10100.95,4797,485.0
41246.89,47629,1241.0
476.03,247,56.0
11196.31,3873,626.0
3560.55,861,196.0
13.94,4,0.0
11694.46,3566,227.0
76846.28,11548,1468.0
30033.34,3803,653.0
9823.69,3608,396.0
36551.45,8538,833.0
62588.81,13378,1671.0
6080.17,1462,189.0
20599.79,3158,301.0
42713.64,8460,984.0
2461.25,512,180.0
5149.04,656,31.0
24041.45,5735,1778.0
8990.95,2450,409.0
3394.04,654,42.0
2887.87,497,5.0
2827.92,643,282.0
6027.64,738,47.0
2918.71,489,78.0
5457.4,1046,206.0
321.73,55,10.0
5467.91,1054,214.0
328.69,58,9.0
5417.49,1064,175.0
322.38,57,5.0
5476.97,1095,173.0
323.38,167,5.0
5457.39,1179,119.0
25235.64,4893,443.0
14637.96,3204,1120.0
3289.02,2380,263.0
3039.26,1005,252.0
3161.78,1408,252.0
3087.0,891,253.0
3089.85,786,268.0
3072.83,807,257.0
7287.17,1631,152.0
38788.92,6592,711.0
4858.55,1731,243.0
147577.48,20755,3506.0
41609.12,6671,1156.0
27559.73,3740,742.0
7871.08,998,88.0
19633.05,2543,354.0
2794.54,586,156.0
38446.24,4931,663.0
0.0,2085,153.0
11359.33,4533,305.0
35637.71,11793,989.0
29049.12,4339,683.0
28528.15,5540,1020.0
12685.63,1704,650.0
14008.38,9540,237.0
35918.49,2535,600.0
74044.78,9667,1816.0
52078.56,7296,778.0
46509.35,5219,747.0
12192.15,3113,763.0
12775.44,1954,219.0
5276.85,1008,256.0
5299.96,1068,275.0
5309.54,1077,266.0
5235.15,1085,240.0
10.14,2,0.0
14105.09,1729,206.0
40708.45,8553,1319.0
9574.33,1968,277.0
63865.36,7738,926.0
1504.51,1756,95.0
3042.38,1242,191.0
3214.64,1389,183.0
3118.65,1192,163.0
20405.89,6242,1094.0
17483.01,2431,263.0
39850.55,10179,1032.0
0.0,1706,317.0
4161.3,911,99.0
85842.42,10431,1741.0
1182.71,331,72.0
17733.34,4918,610.0
31813.39,6766,596.0
65264.61,10596,1657.0
23849.78,7017,675.0
121619.94,17472,2895.0
34197.6,5327,678.0
1036.76,194,88.0
24616.32,3286,473.0
29074.28,5193,457.0
6532.91,1513,168.0
4212.16,1356,315.0
4024.49,936,291.0
6744.31,4903,231.0
7349.45,942,129.0
7829.5,725,231.0
5087.64,761,114.0
39661.98,5773,1189.0
13108.86,3153,1017.0
53255.81,7733,1304.0
61445.08,12823,1768.0
52610.38,7258,1219.0
5777.03,2404,308.0
2854.31,582,161.0
2829.93,879,162.0
2808.12,791,163.0
2819.81,556,163.0
5815.67,1885,211.0
69624.33,5532,1592.0
11097.55,2356,337.0
68082.04,7956,1568.0
18351.58,3051,508.0
6067.17,1203,364.0
6830.22,843,25.0
6444.59,815,17.0
6804.16,1398,412.0
9094.96,2353,510.0
0.0,3785,359.0
18646.49,3065,905.0
15778.85,2477,424.0
52698.11,6214,1426.0
0.0,3778,408.0
60055.33,10352,1120.0
18720.79,2565,389.0
2573.34,428,36.0
3072.38,468,42.0
21697.86,4062,561.0
7439.48,2644,364.0
89731.1,13924,1984.0
52575.23,6680,1256.0
60076.62,12686,1992.0
6835.91,1336,152.0
45016.4,5475,868.0
14892.79,1999,733.0
17272.46,3609,714.0
3787.19,714,75.0
9728.04,1974,268.0
112033.26,15186,1747.0
7529.03,1250,70.0
7968.93,2253,305.0
5496.76,1249,240.0
5899.45,1080,41.0
56516.89,7734,804.0
68809.42,12407,1720.0
19053.17,9601,900.0
32258.07,8304,771.0
27544.55,6155,731.0
0.0,1936,136.0
48378.19,15730,2635.0
16393.66,6128,917.0
51875.4,7579,684.0
26553.66,6407,384.0
10537.38,2730,462.0
15488.6,31810,529.0
14502.72,3161,978.0
65091.46,14772,1809.0
59555.69,8700,1359.0
44673.1,10679,474.0
25027.37,4071,345.0
109.92,1810,248.0
20891.72,8029,810.0
69745.21,9135,1583.0
20559.41,8198,638.0
19021.44,7031,706.0
30393.53,7059,778.0
47428.94,7316,1243.0
166022.81,17102,3276.0
8857.3,2664,336.0
19309.47,3578,470.0
32475.77,5902,805.0
0.0,14145,1808.0
31185.78,7271,605.0
16018.33,3689,654.0
6037.3,1172,496.0
7173.49,1374,84.0
10655.69,1994,198.0
61754.14,8532,2046.0
70013.7,9211,1312.0
23298.63,3642,598.0
5074.92,908,287.0
5147.76,591,20.0
5050.55,952,278.0
5141.85,575,20.0
5037.92,919,274.0
5160.86,593,20.0
5026.33,931,269.0
26445.16,4938,505.0
0.0,1206,0.0
31738.31,10452,1147.0
15975.15,3497,790.0
0.0,1822,0.0
56129.08,10569,821.0
40536.88,8753,1368.0
40045.07,9379,943.0
11368.81,2163,308.0
28826.06,6314,919.0
13008.25,2307,324.0
14187.86,1482,353.0
10312.76,2596,117.0
22957.25,3176,1001.0
46609.19,7787,804.0
2814.21,551,173.0
79323.35,13141,1668.0
72805.21,11063,2447.0
0.0,3686,203.0
21987.67,7646,847.0
0.0,4907,0.0
64260.97,9292,961.0
102459.46,12322,2199.0
119358.8,20276,2404.0
7926.37,1581,163.0
1995.81,432,99.0
1995.32,434,105.0
1962.88,440,106.0
2000.36,439,105.0
1983.66,425,104.0
2006.36,437,105.0
1967.69,418,103.0
2022.36,667,122.0
33358.47,5174,636.0
5471.16,691,210.0
16756.55,3947,252.0
16889.71,2701,194.0
11556.42,2355,225.0
54042.07,15962,868.0
4839.65,1381,437.0
28244.95,5643,775.0
26935.97,5713,694.0
53131.93,7655,1447.0
30808.92,8171,1052.0
52699.42,8022,1324.0
0.0,303,0.0
0.0,1978,0.0
0.0,728,0.0
56762.44,11639,1115.0
11229.67,2999,231.0
57753.23,7371,778.0
32258.86,4380,574.0
28087.6,6236,445.0
61193.83,7628,1219.0
67171.27,8624,1762.0
21526.06,5788,615.0
4539.73,1418,336.0
5657.88,1401,226.0
1115.28,455,48.0
141.0,270,10.0
67788.07,9064,1845.0
2452.61,451,122.0
0.0,3443,21.0
96836.34,9953,1626.0
55479.48,7197,1190.0
4326.18,1299,157.0
90351.82,11222,1866.0
2250.66,539,212.0
11219.09,1530,282.0
8146.04,1369,104.0
58744.13,10813,1063.0
58604.68,9582,1031.0
27801.39,5548,846.0
4915.25,700,227.0
15073.03,1811,290.0
16649.85,4436,352.0
538.97,113,26.0
43381.72,5882,1026.0
78834.21,11093,2284.0
4462.23,789,200.0
4713.04,1844,188.0
10401.66,2336,199.0
66389.4,10188,1029.0
30279.75,5867,0.0
17334.54,2184,273.0
5482.16,913,16.0
4777.55,939,301.0
21919.66,3201,394.0
2635.13,3622,114.0
47712.37,5795,946.0
39182.54,4485,794.0
13718.02,4067,358.0
14196.96,1806,275.0
5813.82,773,42.0
4988.21,768,185.0
5499.61,688,26.0
4889.68,737,177.0
5564.15,747,36.0
20046.73,2531,231.0
67057.35,13340,1389.0
44309.14,11160,1436.0
2753.72,1624,131.0
14999.81,2092,364.0
14638.53,3944,409.0
5662.29,1164,231.0
6036.46,1443,488.0
6868.93,1130,75.0
6979.14,979,78.0
6095.93,1215,496.0
10172.11,1831,175.0
20149.4,2666,704.0
26388.53,3660,494.0
46914.07,10353,689.0
31277.56,6735,1851.0
2816.07,462,194.0
19956.79,4040,547.0
10504.83,2329,335.0
3691.8,702,214.0
3532.59,663,205.0
4277.47,533,15.0
3454.96,668,199.0
3851.87,531,11.0
3502.25,662,205.0
15058.71,1982,116.0
38148.53,6827,584.0
56236.86,11238,2125.0
9627.91,2753,289.0
8172.72,1589,453.0
55769.21,7987,1309.0
46233.57,6188,1252.0
4888.01,1394,556.0
62947.27,10699,1172.0
31695.88,5778,505.0
16673.84,5099,841.0
18150.45,2807,183.0
3871.46,827,274.0
35066.47,4227,652.0
53974.42,6829,1392.0
33603.58,5655,491.0
39969.64,3746,610.0
82374.03,9682,1878.0
66983.36,8576,1141.0
8949.6,805,246.0
59650.91,8840,1333.0
14194.22,3266,316.0
31689.06,4917,748.0
14064.84,1993,414.0
48548.23,8769,1274.0
17308.59,3978,503.0
72810.03,10161,1261.0
105338.86,19507,3116.0
805.74,1701,219.0
60179.17,13021,2588.0
43756.04,10817,1161.0
120363.3,18221,3389.0
