calories,avg_heart_rate_element,vrsta_sporta
1115,117.0,Biking
231,122.0,Biking
778,125.0,Biking
574,123.0,Biking
445,111.0,Biking
1219,138.0,Biking
1762,136.0,Biking
615,111.0,Biking
336,179.0,Biking
226,146.0,Biking
48,139.0,Biking
10,115.0,Biking
1845,121.0,Biking
122,170.0,Biking
21,93.0,Biking
1626,151.0,Biking
1190,142.0,Biking
157,104.0,Biking
1866,140.0,Biking
212,175.0,Biking
282,138.0,Biking
104,103.0,Biking
1063,119.0,Biking
1031,105.0,Biking
846,134.0,Biking
227,179.0,Biking
290,133.0,Biking
352,109.0,Biking
26,169.0,Biking
1026,129.0,Biking
2284,133.0,Biking
200,172.0,Biking
188,144.0,Biking
199,126.0,Biking
1029,116.0,Biking
0,171.0,Biking
273,124.0,Biking
16,110.0,Biking
301,172.0,Biking
394,121.0,Biking
114,170.0,Biking
946,135.0,Biking
794,153.0,Biking
358,130.0,Biking
275,127.0,Biking
42,111.0,Biking
185,168.0,Biking
26,108.0,Biking
177,167.0,Biking
36,112.0,Biking
231,128.0,Biking
1389,115.0,Biking
1436,136.0,Biking
131,123.0,Biking
364,119.0,Biking
409,128.0,Biking
231,121.0,Biking
488,159.0,Biking
75,107.0,Biking
78,111.0,Biking
496,174.0,Biking
175,118.0,Biking
704,,Biking
494,120.0,Biking
689,110.0,Biking
1851,172.0,Biking
194,179.0,Biking
547,130.0,Biking
335,126.0,Biking
214,154.0,Biking
205,159.0,Biking
15,109.0,Biking
199,154.0,Biking
11,99.0,Biking
205,155.0,Biking
116,107.0,Biking
584,104.0,Biking
2125,,Biking
289,114.0,Biking
453,177.0,Biking
1309,116.0,Biking
1252,128.0,Biking
556,180.0,Biking
1172,115.0,Biking
505,112.0,Biking
841,128.0,Biking
183,93.0,Biking
274,181.0,Biking
652,141.0,Biking
1392,129.0,Biking
491,116.0,Biking
610,137.0,Biking
1878,127.0,Biking
1141,140.0,Biking
246,177.0,Biking
1333,135.0,Biking
316,122.0,Biking
748,120.0,Biking
414,,Biking
1274,124.0,Biking
503,129.0,Biking
1261,125.0,Biking
3116,134.0,Biking
219,140.0,Biking
2588,143.0,Biking
1161,131.0,Biking
3389,141.0,Biking
80,104.0,Biking
0,,Biking
384,102.0,Biking
298,127.0,Biking
632,112.0,Biking
175,122.0,Biking
829,121.0,Biking
236,117.0,Biking
273,120.0,Biking
131,164.0,Biking
15,115.0,Biking
19,119.0,Biking
422,116.0,Biking
37,159.0,Biking
33,137.0,Biking
38,158.0,Biking
38,167.0,Biking
24,109.0,Biking
36,155.0,Biking
42,144.0,Biking
38,166.0,Biking
41,141.0,Biking
47,147.0,Biking
440,119.0,Biking
462,115.0,Biking
421,147.0,Biking
547,124.0,Biking
167,107.0,Biking
230,131.0,Biking
794,124.0,Biking
1601,133.0,Biking
669,136.0,Biking
888,166.0,Biking
642,131.0,Biking
369,157.0,Biking
359,156.0,Biking
12,104.0,Biking
363,161.0,Biking
10,106.0,Biking
363,163.0,Biking
91,125.0,Biking
327,130.0,Biking
315,105.0,Biking
26,132.0,Biking
688,181.0,Biking
233,112.0,Biking
588,174.0,Biking
816,120.0,Biking
610,127.0,Biking
598,129.0,Biking
58,118.0,Biking
1399,135.0,Biking
1514,126.0,Biking
254,174.0,Biking
262,175.0,Biking
252,172.0,Biking
237,167.0,Biking
210,163.0,Biking
1605,,Biking
2496,,Biking
1951,142.0,Biking
494,122.0,Biking
5,101.0,Biking
188,161.0,Biking
5,108.0,Biking
5,110.0,Biking
50,117.0,Biking
620,177.0,Biking
182,109.0,Biking
61,127.0,Biking
2936,138.0,Biking
0,99.0,Biking
716,140.0,Biking
94,114.0,Biking
0,,Biking
536,107.0,Biking
205,118.0,Biking
288,128.0,Biking
326,173.0,Biking
51,128.0,Biking
329,173.0,Biking
41,131.0,Biking
177,170.0,Biking
494,153.0,Biking
642,150.0,Biking
495,142.0,Biking
678,113.0,Biking
1,110.0,Biking
190,118.0,Biking
725,104.0,Biking
464,152.0,Biking
1657,131.0,Biking
3189,126.0,Biking
256,171.0,Biking
269,177.0,Biking
270,175.0,Biking
263,174.0,Biking
256,172.0,Biking
247,171.0,Biking
5,142.0,Biking
0,,Biking
0,,Biking
132,117.0,Biking
1142,124.0,Biking
430,134.0,Biking
191,154.0,Biking
47,105.0,Biking
193,155.0,Biking
41,109.0,Biking
47,127.0,Biking
421,131.0,Biking
726,129.0,Biking
2862,115.0,Biking
1726,143.0,Biking
1219,130.0,Biking
1352,129.0,Biking
277,172.0,Biking
377,,Biking
446,109.0,Biking
1694,133.0,Biking
329,123.0,Biking
1,107.0,Biking
242,164.0,Biking
62,129.0,Biking
57,118.0,Biking
1371,121.0,Biking
554,105.0,Biking
257,137.0,Biking
515,120.0,Biking
1005,128.0,Biking
195,109.0,Biking
1693,121.0,Biking
321,93.0,Biking
105,133.0,Biking
59,128.0,Biking
101,131.0,Biking
80,144.0,Biking
99,142.0,Biking
52,134.0,Biking
52,119.0,Biking
87,132.0,Biking
57,125.0,Biking
89,129.0,Biking
0,82.0,Biking
70,91.0,Biking
1200,143.0,Biking
206,186.0,Biking
305,131.0,Biking
238,117.0,Biking
254,165.0,Biking
259,164.0,Biking
10,110.0,Biking
252,160.0,Biking
236,123.0,Biking
111,101.0,Biking
2373,141.0,Biking
1872,,Biking
699,135.0,Biking
99,101.0,Biking
919,131.0,Biking
108,134.0,Biking
303,176.0,Biking
366,127.0,Biking
14,170.0,Biking
31,166.0,Biking
1,120.0,Biking
4,121.0,Biking
6,152.0,Biking
51,166.0,Biking
0,121.0,Biking
12,129.0,Biking
61,168.0,Biking
0,117.0,Biking
0,126.0,Biking
12,136.0,Biking
24,172.0,Biking
1,139.0,Biking
11,146.0,Biking
1016,122.0,Biking
257,134.0,Biking
961,133.0,Biking
1094,120.0,Biking
493,102.0,Biking
195,108.0,Biking
21,108.0,Biking
146,162.0,Biking
20,108.0,Biking
46,109.0,Biking
145,161.0,Biking
17,107.0,Biking
331,118.0,Biking
1829,131.0,Biking
459,100.0,Biking
135,168.0,Biking
184,118.0,Biking
1212,137.0,Biking
527,,Biking
363,134.0,Biking
5,112.0,Biking
248,151.0,Biking
529,146.0,Biking
0,,Biking
715,131.0,Biking
780,122.0,Biking
252,111.0,Biking
10,109.0,Biking
1,118.0,Biking
4,110.0,Biking
4,118.0,Biking
257,118.0,Biking
337,126.0,Biking
198,110.0,Biking
463,134.0,Biking
263,118.0,Biking
2426,,Biking
368,129.0,Biking
173,135.0,Biking
29,120.0,Biking
209,157.0,Biking
206,124.0,Biking
458,142.0,Biking
175,102.0,Biking
809,,Biking
445,98.0,Biking
141,,Biking
1110,130.0,Biking
242,155.0,Biking
558,124.0,Biking
1472,123.0,Biking
622,129.0,Biking
1782,114.0,Biking
1350,173.0,Biking
2842,60.0,Biking
2547,130.0,Biking
629,136.0,Biking
482,128.0,Biking
301,102.0,Biking
1964,139.0,Biking
1121,135.0,Biking
240,118.0,Biking
403,115.0,Biking
352,129.0,Biking
850,114.0,Biking
122,107.0,Biking
429,104.0,Biking
1196,126.0,Biking
163,117.0,Biking
811,132.0,Biking
1089,171.0,Biking
379,119.0,Biking
480,122.0,Biking
369,101.0,Biking
31,102.0,Biking
75,102.0,Biking
75,96.0,Biking
109,104.0,Biking
45,98.0,Biking
62,107.0,Biking
31,106.0,Biking
467,136.0,Biking
447,122.0,Biking
295,115.0,Biking
2941,152.0,Biking
110,169.0,Biking
48,102.0,Biking
433,121.0,Biking
0,147.0,Biking
0,114.0,Biking
41,109.0,Biking
10,123.0,Biking
26,128.0,Biking
748,126.0,Biking
2558,123.0,Biking
0,,Biking
795,121.0,Biking
214,130.0,Biking
433,127.0,Biking
3659,139.0,Biking
232,119.0,Biking
17,116.0,Biking
69,162.0,Biking
16,115.0,Biking
768,129.0,Biking
70,125.0,Biking
973,178.0,Biking
2520,150.0,Biking
289,121.0,Biking
63,113.0,Biking
366,164.0,Biking
1614,128.0,Biking
15,112.0,Biking
15,107.0,Biking
664,131.0,Biking
246,146.0,Biking
0,120.0,Biking
856,119.0,Biking
448,141.0,Biking
417,122.0,Biking
0,,Biking
284,115.0,Biking
753,124.0,Biking
968,116.0,Biking
305,105.0,Biking
868,124.0,Biking
1363,131.0,Biking
1096,129.0,Biking
361,117.0,Biking
1210,124.0,Biking
984,127.0,Biking
2413,127.0,Biking
63,111.0,Biking
1316,108.0,Biking
591,104.0,Biking
1740,112.0,Biking
506,128.0,Biking
253,145.0,Biking
146,163.0,Biking
17,144.0,Biking
163,107.0,Biking
37,,Biking
1129,137.0,Biking
196,165.0,Biking
201,168.0,Biking
189,165.0,Biking
329,161.0,Biking
141,157.0,Biking
415,104.0,Biking
263,115.0,Biking
16,153.0,Biking
63,122.0,Biking
17,164.0,Biking
59,127.0,Biking
20,163.0,Biking
47,121.0,Biking
16,162.0,Biking
52,129.0,Biking
312,124.0,Biking
1462,118.0,Biking
311,125.0,Biking
1899,131.0,Biking
905,120.0,Biking
236,111.0,Biking
10,113.0,Biking
375,123.0,Biking
459,127.0,Biking
390,114.0,Biking
510,136.0,Biking
442,128.0,Biking
554,155.0,Biking
299,109.0,Biking
24,110.0,Biking
6,117.0,Biking
5,117.0,Biking
177,121.0,Biking
279,115.0,Biking
31,125.0,Biking
20,138.0,Biking
222,138.0,Biking
322,109.0,Biking
1119,129.0,Biking
536,121.0,Biking
203,,Biking
231,102.0,Biking
924,167.0,Biking
699,115.0,Biking
1120,116.0,Biking
580,130.0,Biking
15,111.0,Biking
263,128.0,Biking
299,,Biking
15,112.0,Biking
136,184.0,Biking
130,118.0,Biking
632,162.0,Biking
14,103.0,Biking
36,150.0,Biking
654,146.0,Biking
161,170.0,Biking
164,171.0,Biking
24,125.0,Biking
161,172.0,Biking
106,124.0,Biking
19,185.0,Biking
198,114.0,Biking
631,121.0,Biking
1005,110.0,Biking
496,131.0,Biking
637,,Biking
448,139.0,Biking
520,128.0,Biking
932,125.0,Biking
601,115.0,Biking
1425,135.0,Biking
314,103.0,Biking
1694,101.0,Biking
1205,119.0,Biking
1041,135.0,Biking
273,117.0,Biking
51,128.0,Biking
50,131.0,Biking
47,130.0,Biking
48,135.0,Biking
43,133.0,Biking
31,151.0,Biking
5,106.0,Biking
40,130.0,Biking
67,122.0,Biking
1379,120.0,Biking
1248,130.0,Biking
654,125.0,Biking
419,148.0,Biking
1083,120.0,Biking
290,129.0,Biking
636,123.0,Biking
861,111.0,Biking
1668,161.0,Biking
340,100.0,Biking
52,102.0,Biking
67,106.0,Biking
101,107.0,Biking
47,98.0,Biking
38,94.0,Biking
53,99.0,Biking
3134,137.0,Biking
282,147.0,Biking
953,127.0,Biking
359,103.0,Biking
1529,,Biking
668,115.0,Biking
698,125.0,Biking
346,120.0,Biking
2445,155.0,Biking
1366,120.0,Biking
396,139.0,Biking
158,101.0,Biking
0,80.0,Biking
551,106.0,Biking
568,118.0,Biking
478,137.0,Biking
15,151.0,Biking
115,177.0,Biking
110,172.0,Biking
110,170.0,Biking
1058,112.0,Biking
754,140.0,Biking
22,158.0,Biking
50,128.0,Biking
52,137.0,Biking
26,171.0,Biking
26,129.0,Biking
30,170.0,Biking
329,116.0,Biking
463,119.0,Biking
3156,161.0,Biking
766,114.0,Biking
421,126.0,Biking
226,168.0,Biking
222,171.0,Biking
66,120.0,Biking
222,170.0,Biking
226,172.0,Biking
203,124.0,Biking
1240,117.0,Biking
1184,119.0,Biking
1594,144.0,Biking
790,127.0,Biking
736,116.0,Biking
1275,170.0,Biking
1137,118.0,Biking
177,110.0,Biking
1682,114.0,Biking
252,128.0,Biking
824,153.0,Biking
398,143.0,Biking
16,108.0,Biking
15,108.0,Biking
532,140.0,Biking
368,149.0,Biking
25,108.0,Biking
331,148.0,Biking
114,110.0,Biking
350,121.0,Biking
210,111.0,Biking
2915,163.0,Biking
330,134.0,Biking
441,128.0,Biking
1529,170.0,Biking
298,,Biking
142,106.0,Biking
217,115.0,Biking
1064,132.0,Biking
591,111.0,Biking
240,143.0,Biking
583,136.0,Biking
783,177.0,Biking
885,131.0,Biking
1678,105.0,Biking
1031,144.0,Biking
131,129.0,Biking
63,111.0,Biking
1968,128.0,Biking
191,106.0,Biking
753,129.0,Biking
390,136.0,Biking
1009,114.0,Biking
3200,147.0,Biking
414,115.0,Biking
564,162.0,Biking
304,120.0,Biking
352,162.0,Biking
617,134.0,Biking
127,132.0,Biking
252,172.0,Biking
236,168.0,Biking
222,167.0,Biking
1396,124.0,Biking
389,131.0,Biking
174,123.0,Biking
314,122.0,Biking
84,112.0,Biking
1045,116.0,Biking
1312,128.0,Biking
557,103.0,Biking
63,119.0,Biking
82,142.0,Biking
67,149.0,Biking
57,151.0,Biking
73,165.0,Biking
1566,147.0,Biking
526,119.0,Biking
1024,132.0,Biking
372,,Biking
680,124.0,Biking
21,164.0,Biking
21,172.0,Biking
57,156.0,Biking
57,160.0,Biking
314,112.0,Biking
868,104.0,Biking
2777,,Biking
1250,134.0,Biking
622,127.0,Biking
2443,123.0,Biking
133,109.0,Biking
810,133.0,Biking
468,125.0,Biking
663,184.0,Biking
